checking	Project_ID	First_Project_ID	Second_Project_ID	Original_Project_description	Curated_Project_description	has_it_been_collected	why_not_collect	Number_of_samples	Number_of_runs	Population	Related_Publications	isIndepthAnalzed
0	PRJEB10878	PRJEB10878	NULL	We performed a metagenome-wide association study on fecal samples from 74 CRC patients and 54 controls from China and validated the results in 16 patients and 24 controls from Denmark. We further validated the biomarkers in two published cohorts from France and Austria. Finally  we employed targeted quantitative PCR (qPCR) assays to evaluate the diagnostic potential of selected biomarkers in an independent Chinese cohort of 47 patients and 109 controls	NULL	Y		128	128	Chinese	NULL	0
3	PRJEB11419	PRJEB11419	ERP012803	The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts.	NULL	Y		12123	14589	NULL	29795809	0
0	PRJEB11532	PRJEB11532	NULL	Personalized Nutrition by Prediction of Glycemic Responses	NULL	Y	part phenotype data	969	1523	Israel	26590418	0
0	PRJEB12123	PRJEB12123	ERP013562	Gut microbiome and serum metabolome alterations in obesity and after weight-loss intervention	NULL	Y	part phenotype data	257	257	China	28628112	0
0	PRJEB12124	PRJEB12124	ERP013563	NGS data from BGI; Dysbosis of intestinal microbiota could contribute to the pathogenesis of Type 2 Diabetes. It is yet to be known whether intestinal flora could be related to differential responds to antidiabetic therapies. This study, herein for the first time, metagenomic sequenced fecal samples from a randomized clinical trial on new onset untreated Type 2 Diabetes patients applied two treatment arms, Acarbose and Glipizide (Sulfonylurea) and analyzed the differential responses of intestinal flora in different groups. Results showed substantial impact of Acarbose on gut microbiota community but minor of Glipizide. Enterotypes with similar baseline clinical characteristics, had significant different pharmacologic respond to Acarbose on insulin resistance, gut hormones, bile acids and cardiovascular risks, indicating that different pattern of intestinal microbiota component could determine different responses of Type 2 Diabetes to antidiabetic pharmacological therapies.	NULL	N	No phenotype data; no age, gender, BMI data.	188	188	Chinese	NULL	0
0	PRJEB1220	PRJEB1220	DRP003166	The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species  viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7 381 co-abundance gene groups (CAGs) ranging in size from 3 to 6 319 genes. The CAGs represent a wide variety of biological entities including microbial genomes  phages and clonal differences. We name the 741 largest of these metagenomic species (MGS)  because they correspond to microbial species. In addition  we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host	NULL	Y		396	1704	NULL	24997787	0
1	PRJEB12357	PRJEB12357	ERP013827	Ten individuals with metabolic syndrome underwent a single faecal microbiota transplantation (FMT): 5 of which were allogenic, the other 5 autologous. Stool samples were collected before FMT (day 0) and days 2, 14, 42 and 84 after FMT; and from the donor before FMT. Metagenomic shotgun sequencing was performed on all samples.	NULL	Y		55	430	NULL	27126044,22728510	0
0	PRJEB12449	PRJEB12449	NULL	Accumulating evidence indicates that the gut microbiota affects colorectal cancer development  but previous studies have varied in population  technical methods  and associations with cancer. Understanding these variations is needed for comparisons and for potential pooling across studies. Therefore  we performed whole-genome shotgun metagenomics sequencing on fecal samples from 52 pre-treatment colorectal cancer cases and 52 matched controls from Washington  DC. We compared findings from a previous 16S rRNA study to the metagenomics-derived taxonomy within the same population. In addition  metagenome-predicted genes  modules  and pathways in the Washington  DC cases and controls were compared to cases and controls recruited in France whose specimens were processed using the same platform. Associations between the presence of fecal Fusobacteria  Fusobacterium  and Porphyromonas with colorectal cancer detected by 16S rRNA were reproduced by metagenomics  whereas higher relative abundance of Clostridia in cancer cases based on 16S rRNA was merely borderline based on metagenomics. Considering significant cancer associations with the relative abundance of genes  modules  and pathways in the French population  statistically significant associations in the Washington  DC population were detected for four out of 10 genes  three out of nine modules  and seven out of 17 pathways. In conclusion  metagenomic sequencing results reproduced most  but not all of the major taxonomic associations with colorectal cancer previously observed from 16S rRNA profiles. In addition  colorectal cancer in the Washington  DC study was associated with 39% of the metagenome-predicted genes  modules  and pathways identified from the French study. More within and between population comparisons are needed to identify sources of variation and disease associations that can be reproduced despite these variations. Future studies must have larger sample sizes or pool data across studies to have sufficient power to detect associations that are reproducible and significant after correction for multiple testing.	NULL	Y		110	882	NULL	NULL	0
1	PRJEB12947	PRJEB12947	ERP104200	EMG produced TPA metagenomics assembly of the Roux-en-Y gastric bypass surgery of morbidly obese patients shows swift and persistent changes of the individual gut microbiota (GBP) data set	NULL	Y		1	2	NULL	29069476,27306058	0
0	PRJEB13092	PRJEB13092	ERP014628	Gastrointestinal disturbances are among the cluster of symptoms commonly reported by individuals diagnosed with ME/CFS (Myalgic Encephalomyelitis/Chronic Fatigue Syndrome), who are also often reported to exhibit altered plasma cytokine profiles. In plasma of ME/CFS patients (n=48) and healthy controls (n=39), we examined a set of inflammatory markers: C-reactive protein (CRP), Intestinal Fatty Acid Binding Protein (I-FABP), lipopolysaccharide (LPS), LPS binding protein (LBP), and soluble CD14 (sCD14). Levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects. Levels of LBP were correlated with LPS and sCD14 and LPS levels correlated with sCD14. We examined the gut microbiota by 16S rRNA sequencing. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular a reduction in the relative abundance and diversity of Firmicutes. The ME/CFS samples also exhibited an increase in the pro-inflammatory family Enterobacteriaceae and decrease in the anti-inflammatory Ruminococcaceae, including Faecalibacterium, and reduced amounts of beneficial Bifidobacterium species. Using a machine learning approach, individuals were classified correctly as ME/CFS with an average success rate of 0.8928. Our results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms.	NULL	Y	NULL	88	88	American	27338587	0
1	PRJEB13870	PRJEB13870	ERP015450	Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension	NULL	Y		196	196	NULL	28143587	0
1	PRJEB14215	NULL	NULL	As worldwide metabolic disease pandemics rise relentlessly with their concomitant clinical complications such as non-alcoholic fatty liver disease (NAFLD), FLORINASH sought to use an innovative research concept to address the role of the intestinal microbiota in the pathogenesis of NAFLD. Metagenomic data deposited herein are from patients who underwent bariatric surgery, and for whom liver biopsies were available to allow diagnosis of NAFLD. Published in Nature Medicine 2018 with title: Molecular phenomics and metagenomics of hepatic steatosis in non-diabetic obese women	NULL	Y		73	73	Italy	29942096	0
1	PRJEB15257	PRJEB15257	ERP016968	These samples were generated to quantify and interrogate the antibiotic resistome within a cohort of premature infants, using shotgun metagenomic sequencing.	NULL	Y		15	15	NULL	28149696	0
0	PRJEB15371	PRJEB15371	ERP017091	The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition	NULL	Y	NULL	123	123	China	NULL	0
