checking	Project_ID	First_Project_ID	Second_Project_ID	Original_Project_description	Curated_Project_description	has_it_been_collected	why_not_collect	Number_of_samples	Number_of_runs	Population	Related_Publications	isIndepthAnalzed
1	PRJEB6092	PRJEB6092	ERP005558	Two diets, Korean and Western diet. Each 6 individuals, half of which lost a lot of weight and half of which lost little weight. Fecal samples taken before and after diet (3 months).	NULL	Y		24	24	NULL	NULL	0
0	PRJEB6337	PRJEB6337	ERP005860	Liver cirrhosis occurs as a consequence of many chronic liver diseases that are prevalent worldwide. Previous studies have shown an association between the gut microbiota and liver complications such as cirrhosis and other liver injuries. We therefore undertook a whole gut microbiome wide association study of stool samples from 98 liver cirrhosis patients and 83 healthy controls to characterise the faecal microbial communities and their functional composition. In total, we generated 860 Gb of high-quality sequence data and built a reference gene set for the liver cirrhosis cohort containing 2.69 million genes, 36.1% of which was not covered by previously published gene catalogues.	Liver cirrhosis occurs as a consequence of many chronic liver diseases that are prevalent worldwide. Previous studies have shown an association between the gut microbiota and liver complications such as cirrhosis and other liver injuries. We therefore undertook a whole gut microbiome wide association study of stool samples from 98 liver cirrhosis patients and 83 healthy controls to characterise the faecal microbial communities and their functional composition. In total, we generated 860 Gb of high-quality sequence data and built a reference gene set for the liver cirrhosis cohort containing 2.69 million genes, 36.1% of which was not covered by previously published gene catalogues.	Y		312	314	Chinese	25079328	1
1	PRJEB6456	PRJEB6456 	ERP005989	The gastrointestinal tracts of mammalians are sterile in utero and colonized by microorganisms immediately after delivery. The subsequent development of the infant gut microbiota involves a complex succession of microbes, driven by factors such as gestational age, mode of delivery, antibiotic use, hygiene, geographical zone and type of feeding.	NULL	Y		400	400	infant	25974306	0
0	PRJEB6702	PRJEB6702	ERP006339	Host genetics and the gut microbiome can both influence host metabolic phenotypes. However, whether host genetic variation shapes the gut microbiome and interacts with it to affect host phenotype is unclear. Here, we addressed this question by comparing microbiotas across more than 1,000 fecal samples obtained from members of the TwinsUK population, including 416 twin-pairs. We identified a variety of microbial taxa whose abundances were influenced by host genetics. The most heritable taxon, the family Christensenellaceae, formed a co-occurrence network with other heritable Bacteria and with methanogenic Archaea, and was enriched in individuals with low BMI. Addition of Christensenella minuta to an obese donor???s fecal microbiome resulted in reduced weight gain and an altered fecal microbiota in recipient germfree mice. Our findings indicate that host genetics influence the composition of the human gut microbiome and can do so in ways that impact host metabolism.	TwinsUK 16S data.	N	No phenotype data, cannot assume that all are healthy; with age and BMI data.	525	525	UK	NULL	0
0	PRJEB6705	PRJEB6705	ERP006342	second half of Goodrich_MiSeq for EBI submission; Goodrich_TwinsUK_Miseq_2	TwinsUK 16S data.	N	No phenotype data, cannot assume that all are healthy; with age, BMI and gender data.	521	521	UK	NULL	0
0	PRJEB6997	PRJEB6997	ERP006678	The oral and gut microbiomes are perturbed in rheumatoid arthritis and partly normalized after treatment	NULL	Y	part phenotype data	530	530	China	NULL	0
1	PRJEB7331	PRJEB7331	ERP007044	metagenomic analysis of human gut microbiome	NULL	Y		24	24	NULL	NULL	0
1	PRJEB7774	PRJEB7774	NULL	Colorectal cancer  a commonly diagnosed cancer in the elderly  often develops slowly from benign polyps called adenoma. The gut microbiota  with its critical roles in nutrient metabolism and immune modulation  is believed to be directly involved in colorectal carcinogenesis. The identity and functional capacity of the adenoma- or carcinoma-related gut microbe(s)  however  have not been surveyed in a comprehensive manner. Here we perform metagenomewide association study (MGWAS) on stools from healthy controls  advanced adenoma and carcinoma patients  revealing gene markers from over 100 bacterial strains enriched in each group.	NULL	Y		156	312	NULL	NULL	0
1	PRJEB7949	PRJEB7949	ERP008951	Ten IBD and 10 healthy individual's fecal microbiomes were determined by NGS sequencing, to identify features that are unique to each group. This was done using shot-gun metagenomics of DNA extracted from fecal samples and run on a HiSeq 2500.	NULL	Y		40	40	NULL	NULL	0
1	PRJEB8094	PRJEB8094	ERP009131	The initial state of the human gut microbiome determines its reshaping by antibiotics	NULL	Y		72	1252	NULL	27494088,26359913	0
1	PRJEB8201	PRJEB8201	ERP009244	Cultural traditions, diet, and lifestyles of ethnic groups living in different geographic locations can serve as a source of variability in human gut microbiota. To examine the differences in gut microbiome of geographically distinct populations, we have carried out phylogenetic, functional, and metabolite analyses of the distal gut microbiota of healthy adolescents from United States and Egypt using next generation high-throughput sequencing.	NULL	Y		2	2	NULL	NULL	0
0	PRJEB9205	PRJEB9205	ERP010289	We characterized the gut microbiota of Korean twin and their families. The study population consisted of 155 monozygotic twin pairs (n=310), 37 dizygotic twin pairs (n=74), and their parents and siblings (n=288). Among them, fecal samples from 84 individuals were provided twice at two time points. Therefore, a total of 756 fecal samples were analyzed. The V4 region of the 16S rRNA gene was sequenced using an Illumina MiSeq platform.	NULL	N	No phenotype data; cannot assume all are healthy. No age, bmi, gender data.	756	756	Korean	NULL	0
0	PRJEB9576	PRJEB9576	ERP010700	Shotgun Metagenomics of 250 Adult Twins Reveals Genetic and Environmental Impacts on the Gut Microbiome; The gut microbiota has been typically viewed as an environmental factor for human health. Twins are well suited for investigating the concordance of their gut microbiomes and decomposing genetic and environmental influences. However, existing twin studies utilizing metagenomic shotgun sequencing have included only a few samples. Here, we sequenced fecal samples from 250 adult twins in the TwinsUK registry and constructed a comprehensive gut microbial reference gene catalog. We demonstrate heritability of many microbial taxa and functional modules in the gut microbiome, including those associated with diseases. Moreover, we identified 8 million SNPs in the gut microbiome and observe a high similarity in microbiome SNPs between twins that slowly decreases after decades of living apart. The results shed new light on the genetic and environmental influences on the composition and function of the gut microbiome that could relate to risk of complex diseases.	TwinsUK mNGS data	N	No phenotype data, no healthy/diseased status info; no age, gender, BMI data.	250	250	UK	NULL	0
1	PRJNA168470	PRJNA168470	SRP017161	Unusually high proportions of autistic children suffer from gastrointestinal problems, suggesting a link between autism and abnormalities in gut microbial function. Disturbances in gut microbial ecosystems not only cause gastrointestinal problems that can exacerbate autistic symptoms, but may also affect the immune and neurological systems. Previous studies have focused primarily on the autism-related presence of pathogenic bacteria. Hence, we investigated autism-related alteration of intestinal bacterial composition by comparing non-autistic and autistic children with or without gastrointestinal symptoms. Interestingly, autistic children tend to have less diverse bacterial communities in their intestines, regardless of noticeable gastrointestinal symptoms. In addition, extensive bioinformatics and statistical analyses discovered that the genus Prevotella was mostly absent in autistic children, which in contrast was found in a large fraction of non-autistic children. Intriguingly, these microbes are known to function as a primary degrader of polysaccharides in gut, suggesting a possible influence of daily diets. In addition, Prevotella was recently reported as a central component of gut microbial communities in humans. Therefore, our findings suggest that the less diverse and imbalanced gut microbial profiles of autistic children make them more susceptible to frequent gastrointestinal disorders.	NA	Y		40	40	NULL	NULL	0
1	PRJNA177201	PRJNA177201	ERP104075	The gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA177201. This project includes samples from the following biomes : Human gut.	NULL	Y		27	27	NULL	23212374	0
0	PRJNA178500	PRJNA178500	SRP016877	The aim of this study is to characterize various patterns of human CRC microbiome using pyrosequencing-based molecular monitoring of bacterial 16S rRNA gene from eight tumor/normal pairs, combined with the findings from the previous studies. During colonoscopy, colorectal adenocarcinoma and adjacent nonaffected tissue were obtained from eight patients following the Standard Operating Procedures.	NULL	Y	NULL	16	16	Chinese	23497613	0
1	PRJNA188481	PRJNA188481	SRP019038	Linking Lifestyle to the Oral and Gut Microbiota in a Large Prospective Cohort.	NULL	Y		8	8	NULL	24843156	0
1	PRJNA213803	PRJNA213803	SRP028362	BACKGROUND: &#10;Elucidating gut microbiota among gallstone patients as well as the complex bacterial colonization of cholesterol gallstones may help in both the prediction and subsequent lowered risk of cholelithiasis. To this end, we studied the composition of bacterial communities of gut, bile, and gallstones from 29 gallstone patients as well as the gut of 38 normal individuals, examining and analyzing some 299, 217 bacterial 16S rRNA gene sequences from 120 samples.&#10;RESULTS: &#10;First, as compared with normal individuals, in gallstone patients there were significant (P < 0.001) increases of gut bacterial phylum Proteobacteria and decreases of three gut bacterial genera, Faecalibacterium, Lachnospira, and Roseburia. Second, about 70% of gut bacterial operational taxonomic units (OTUs) from gallstone patients were detectable in the biliary tract and bacteria diversity of biliary tract was significantly (P < 0.001) higher than that of gut. Third, analysis of the biliary tract core microbiome (represented by 106 bacteria OTUs) among gallstone patients showed that 33.96% (36/106) of constituents can be matched to known bacterial species (15 of which have publicly available genomes). A genome-wide search of MDR, BSH, bG, and phL genes purpotedly associated with the formation of cholesterol gallstones showed that all 15 species with known genomes (e.g., Propionibacterium acnes, Bacteroides vulgates, and Pseudomonas putida) contained at least contained one of the four genes. This finding could potentially provide underlying information needed to explain the association between biliary tract microbiota and the formation of cholesterol gallstones.&#10;CONCLUSIONS: &#10;To the best of our knowledge, this is the first study to discover gut microbiota dysbiosis among gallstone patients, the presence of which may be a key contributor to the complex bacteria community assembly linked with the presence of cholesterol gallstones. Likewise, this study also provides the first large-scale glimpse of biliary tract microbiota potentially associated with cholesterol gallstones. Such a characterization of the biliary tract core microbiome has potentially important biological and medical implications regarding the role of bacteria in the formation cholesterol gallstones	NULL	Y		93	93	NULL	24083370	0
1	PRJNA215106	PRJNA215106	ERP104044	Functional metagenomic selections were performed from various pediatric fecal metagenomes, enriched for children in the first two years of life. A major goal was to understand how antibiotic resistance genes establish and propagate among developing intestinal microbiomes. Fecal metagenomic DNA was cloned into an E. coli library and subjected to selections for antibiotic resistance. After selection, resistance-conferring fragments (the only fragments conferring survival to E. coli in the presence of the drugs) were PCR-amplified, sequenced, and assembled.	NULL	Y		22	169	NULL	24236055	0
1	PRJNA221723	PRJNA221723	SRP033353	BACKGROUND: &#10;The source inoculum of gastrointestinal tract (GIT) microbes is largely influenced by delivery mode in full-term infants, but these influences may be decoupled in very low birth weight (VLBW, <1,500 g) neonates via conventional broad-spectrum antibiotic treatment. We hypothesize the built environment (BE), specifically room surfaces frequently touched by humans, is a predominant source of colonizing microbes in the gut of premature VLBW infants. Here, we present the first matched fecal-BE time series analysis of two preterm VLBW neonates housed in a neonatal intensive care unit (NICU) over the first month of life.&#10;RESULTS: &#10;Fresh fecal samples were collected every 3 days and metagenomes sequenced on an Illumina HiSeq2000 device. For each fecal sample, approximately 33 swabs were collected from each NICU room from 6 specified areas: sink, feeding and intubation tubing, hands of healthcare providers and parents, general surfaces, and nurse station electronics (keyboard, mouse, and cell phone). Swabs were processed using a recently developed 'expectation maximization iterative reconstruction of genes from the environment' (EMIRGE) amplicon pipeline in which full-length 16S rRNA amplicons were sheared and sequenced using an Illumina platform, and short reads reassembled into full-length genes. Over 24,000 full-length 16S rRNA sequences were produced, generating an average of approximately 12,000 operational taxonomic units (OTUs) (clustered at 97% nucleotide identity) per room-infant pair. Dominant gut taxa, including Staphylococcus epidermidis, Klebsiella pneumoniae, Bacteroides fragilis, and Escherichia coli, were widely distributed throughout the room environment with many gut colonizers detected in more than half of samples. Reconstructed genomes from infant gut colonizers revealed a suite of genes that confer resistance to antibiotics (for example, tetracycline, fluoroquinolone, and aminoglycoside) and sterilizing agents, which likely offer a competitive advantage in the NICU environment.&#10;CONCLUSIONS: &#10;We have developed a high-throughput culture-independent approach that integrates room surveys based on full-length 16S rRNA gene sequences with metagenomic analysis of fecal samples collected from infants in the room. The approach enabled identification of discrete ICU reservoirs of microbes that also colonized the infant gut and provided evidence for the presence of certain organisms in the room prior to their detection in the gut.	NULL	Y		2	2	infant	24468033	0
0	PRJNA222611	PRJNA222611	NULL	Colonic polyps are common tumors occurring in ~50% of Western populations with ~10% risk of malignant progression. Dietary agents have been considered the primary environmental exposure to promote colorectal cancer development. However, the colonic mucosa is permanently in contact with the microbiota and its metabolic products including toxins that also have the potential to trigger oncogenic transformation. The goal of this study was to analyze fecal DNA for microbiota composition and functional potential in African Americans with pre-neoplastic lesions. This study reveals that at the pre-neoplastic stages, there is a trend showing microbiota changes between healthy and colon polyp patients at the sub-genus level		Y	NULL	24	24	African Americans	NULL	0
1	PRJNA227062	PRJNA227062	SRP033311	Human immunodeficiency virus-1 (HIV-1) infection disrupts the intestinal immune system, leading to microbial translocation and systemic immune activation. We investigated the impact of HIV-1 infection on the intestinal microbiome and its association with mucosal T-cell and dendritic cell (DC) frequency and activation, as well as with levels of systemic T-cell activation, inflammation, and microbial translocation. Bacterial 16S ribosomal DNA sequencing was performed on colon biopsies and fecal samples from subjects with chronic, untreated HIV-1 infection and uninfected control subjects. Colon biopsies of HIV-1-infected subjects had increased abundances of Proteobacteria and decreased abundances of Firmicutes compared with uninfected donors. Furthermore at the genus level, a significant increase in Prevotella and decrease in Bacteroides was observed in HIV-1-infected subjects, indicating a disruption in the Bacteroidetes bacterial community structure. This HIV-1-associated increase in Prevotella abundance was associated with increased numbers of activated colonic T cells and myeloid DCs. Principal coordinates analysis demonstrated an HIV-1-related change in the microbiome that was associated with increased mucosal cellular immune activation, microbial translocation, and blood T-cell activation. These observations suggest that an important relationship exists between altered mucosal bacterial communities and intestinal inflammation during chronic HIV-1 infection.	NULL	Y		32	32	NULL	24399150	0
0	PRJNA231909	PRJNA231909	SRP056054	This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infants’ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.	NULL	N	No phenotype data, it is unclear which samples are diseased or healthy. No gender, age, BMI data.	1529	1174	NULL	30710083	0
1	PRJNA232056	PRJNA232056	SRP034595	"Inflammatory bowel disease (IBD) comprises two main subtypes, Crohnâ€™s disease (CD) and ulcerative colitis (UC). While previous studies have highlighted the importance of the host innate immune response to bacteria and shown us that multiple pathways are involved in the pathogenesis of IBD, we remain surprisingly ignorant on the root cause(s) and pathogenesis of IBD. In this study, we recruited newly diagnosed children with IBD prior to the initiation of treatment and employed a novel sampling approach to collect and characterize the microbiota at the intestinal mucosal interface. The main objective of this study is to characterize the contribution of the gut microbiota to pediatric inflammatory bowel disease."	NA	Y		68	68	NULL	NULL	0
0	PRJNA232731	PRJNA232731	SRP043574	16S rRNA and metagenomes DIPP microbiome study	NULL	N	Not related to disease	949	947	Finn	25540641, 25101067	0
1	PRJNA233411	PRJNA233411	SRP034948	Stool and mucosal biopsy samples were collected from three pediatric Ulcerative Colitis subjects prior to and two weeks following the cessation of fecal transplant therapy. This data set contains 16S rRNA gene libraries from these specimens.	NA	Y		12	12	child	NULL	0
1	PRJNA233597	PRJNA233597	SRP039076	16S pyrosequencing of human intestinal microbiome of both HIV infected patients and non-infected controls.	NA	Y		36	36	NULL	NULL	0
1	PRJNA234437	PRJNA234437	SRP042023	16S rRNA gene survey of diarrheal stool from children under 5 and matched controls.	NA	Y		1016	1049	NULL	26296559	0
1	PRJNA235337	PRJNA235337	SRP041262	Delineating differences in gut microbiomes of human and animal hosts contributes towards understanding human health and enables new strategies for detecting reservoirs of waterborne human pathogens. We focused upon Blautia, a single microbial genus that is important for nutrient assimilation as preliminary work suggested host-related patterns within members of this genus. In our dataset of 57â€‰M sequence reads of the V6 region of the 16S ribosomal RNA gene in samples collected from seven host species, we identified 200 high-resolution taxonomic units within Blautia using oligotyping. Our analysis revealed 13 host-specific oligotypes that occurred exclusively in fecal samples of humans (three oligotypes), swine (six oligotypes), cows (one oligotype), deer (one oligotype), or chickens (two oligotypes). We identified an additional 171 oligotypes that exhibited differential abundance patterns among all the host species. Blautia oligotypes in the human population obtained from sewage and fecal samples displayed remarkable continuity. Oligotypes from only 10 Brazilian human fecal samples collected from individuals in a rural village encompassed 97% of all Blautia oligotypes found in a Brazilian sewage sample from a city of three million people. Further, 75% of the oligotypes in Brazilian human fecal samples matched those in US sewage samples, implying that a universal set of Blautia strains may be shared among culturally and geographically distinct human populations. Such strains can serve as universal markers to assess human fecal contamination in environmental samples. Our results indicate that host-specificity and host-preference patterns of organisms within this genus are driven by host physiology more than dietary habits.	NULL	Y		10	10	NULL	24936765	0
1	PRJNA237362	PRJNA237362	SRP040765	Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.	We included subjects from 3 to 17 years of age with a well-established diagnosis of CD (n = 447), and control subjects (n = 221) with non-inflammatory conditions, for example presenting with abdominal pain and diarrhea. Mucosal tissue biopsies (terminal ileum and rectum) and serum samples were collected as part of the diagnostic colonoscopic examination prior to the initiation of treatment. A subset of the enrolled patients (n = 233) also provided a fecal sample prior to treatment start. A total of 1,321 samples, including 630 ileal and 387 rectal tissue biopsies and 304 stool samples.	Y		286	1020	NULL	24629344	0
0	PRJNA238042	PRJNA238042	SRP037975	Within the last decade; C. difficile infection has surpassed other bacterial infections to become the leading cause of nosocomial infections. Antibiotic use; which disrupts the gut microbiota and its capability in providing colonization resistance against C. difficile; is a known risk factor in C. difficile infection. In particular; recurrent C. difficile remains difficult to treat with standard antibiotic therapy. Fecal microbiota transplantation (FMT) has provided a successful treatment method for some patients with recurrent C. difficile infection; but its mechanism and long-term effects remain unknown. Our results provide insight into the structural and potential metabolic changes that occur following FMT; which may aid in the development of new treatment methods for C. difficile infection.	NULL	Y	NULL	40	40	NULL	24939885	0
1	PRJNA238486	PRJNA238486	SRP039355	Fecal microbiota transplantation (FMT) is becoming a more widely used technology for treatment of recurrent Clostridum difficile infection (CDI). While previous treatments used fresh fecal slurries as a source of microbiota for FMT, we recently reported the successful use of standardized, partially purified and frozen fecal microbiota to treat CDI. Here we report that high-throughput 16S rRNA gene sequencing showed stable engraftment of gut microbiota following FMT using frozen fecal bacteria from a healthy donor. Similar bacterial taxa were found in post-transplantation samples obtained from the recipients and donor samples, but the relative abundance varied considerably between patients and time points. Post FMT samples from patients showed an increase in the abundance of Firmicutes and Bacteroidetes, representing 75-80% of the total sequence reads. Proteobacteria and Actinobacteria were less abundant (< 5%) than that found in patients prior to FMT. Post FMT samples from two patients were very similar to donor samples, with the Bacteroidetes phylum represented by a great abundance of members of the families Bacteroidaceae, Rikenellaceae and Porphyromonadaceae, and were largely comprised of Bacteroides, Alistipes and Parabacteroides genera. Members of the phylum Firmicutes were represented by Ruminococcaceae, Lachnospiraceae, Verrucomicrobiaceae and unclassified Clostridiales and members of the Firmicutes. One patient subsequently received antibiotics for an unrelated infection, resulting in an increase in the number of intestinal Proteobacteria, primarily Enterobacteriaceae. Our results demonstrate that frozen fecal microbiota from a healthy donor can be used to effectively treat recurrent CDI resulting in restoration of the structure of gut microbiota and clearing of Clostridum difficile	NULL	Y		26	26	NULL	24855561,23333862	0
1	PRJNA240346	PRJNA240346	SRP039530	We compared and analyzed the alternation of the mucosal bacterial communities between health people and IBD patients.	NA	Y		47	47	NULL	NULL	0
1	PRJNA240658	PRJNA240658	SRP039586	Luminal and mucosal-associated gut microbiota in patients with Crohn's disease	NA	Y		21	21	NULL	NULL	0
1	PRJNA241129	PRJNA241129	SRP040253	BACKGROUND: &#10;Previous studies of infant fecal samples have failed to clarify the role of gut bacteria in the pathogenesis of NEC. We sought to characterize bacterial communities within intestinal tissue resected from infants with and without NEC.&#10;METHODS: &#10;26 intestinal samples were resected from 19 infants, including 16 NEC samples and 10 non-NEC samples. Bacterial 16S rRNA gene sequences were amplified and sequenced. Analysis allowed for taxonomic identification, and quantitative PCR was used to quantify the bacterial load within samples.&#10;RESULTS: &#10;NEC samples generally contained an increased total burden of bacteria. NEC and non-NEC sample sets were both marked by high inter-individual variability and an abundance of opportunistic pathogens. There was no statistically significant distinction between the composition of NEC and non-NEC microbial communities. K-means clustering enabled us to identify several stable clusters, including clusters of NEC and midgut volvulus samples enriched with Clostridium and Bacteroides. Another cluster containing both NEC and non-NEC samples was marked by an abundance of Enterobacteriaceae and decreased diversity among NEC samples.&#10;CONCLUSIONS: &#10;The results indicate that NEC is a disease without a uniform pattern of microbial colonization, but that NEC is associated with an abundance of strict anaerobes and a decrease in community diversity	NULL	Y		26	26	NULL	25203729	0
1	PRJNA246121	PRJNA246121	SRP041721	Non-alcoholic fatty liver disease (NAFLD) has recently been considered to be under the influence of the gut microbiota, which might exert toxic effects on the human host after intestinal absorption and delivery to the liver via the portal vein. In this study, the composition of the gut microbiota in NAFLD patients and healthy subjects was determined via 16S ribosomal RNA Illumina next-generation sequencing. Among those taxa displaying greater than 0.1% average abundance in all samples, five genera, including Alistipes and Prevotella, were significantly more abundant in the gut microbiota of healthy subjects compared to NAFLD patients. Alternatively, Escherichia, Anaerobacter, Lactobacillus and Streptococcus were increased in the gut microbiota of NAFLD patients compared to healthy subjects. In addition, decreased numbers of CD4+ and CD8+ T lymphocytes and increased levels of TNF-Î±, IL-6 and IFN-Î³ were detected in the NAFLD group compared to the healthy group. Furthermore, irregularly arranged microvilli and widened tight junctions were observed in the gut mucosa of the NAFLD patients via transmission electron microscopy. We postulate that aside from dysbiosis of the gut microbiota, gut microbiota-mediated inflammation of the intestinal mucosa and the related impairment in mucosal immune function play an important role in the pathogenesis of NAFLD.	NULL	Y		85	85	NULL	25644696	0
1	PRJNA246266	PRJNA246266	SRP041693	With the advancement in the field of human microbiome research, there is paradigm change in our understanding of human associated microorganism. Many studies are been conducted from different geographic locations of the world, highlighting the facts that gut microbiome significantly differ in geographically separated population. Despite this, studies on human microbiome or more specifically human gut microbiome of Indian population is in infancy. In the light of the link between metabolic diseases and bacterial population in the gut, we focused on assessment of differences between the compositions of the intestinal microbiota in individuals with diabetes as compared to healthy individuals based on 16S rRNA gene libraries.Here we have used Operational Taxonomic Units (OTUs) based approach to characterized gut microbiome of Indian diabetic individuals, using 16S rRNA gene sequencing. We observed compositional change, in particular high abundance of Firmicutes in the gut microbiome of individuals with diabetes. Our findings place emphasis on the fact that Indian population which is more prone to develop diabetes harbours unique microbiome in their gut and provides framework for further examination the gut microbiome of diabetes in Indians	NA	Y		49	49	NULL	NULL	0
0	PRJNA258387	PRJNA258387	SRP045568	Fecal samples attained from 18-27 month old toddlers were pyrosequenced to ascertain the effect of maternal obesity, temperament, and other variables upon the fecal microbiota.	NULL	N	16S data; all less than 10K spots.	79	79	USA	NULL	0
1	PRJNA261664	PRJNA261664	SRP049971	Metagemonic sequencing of Cystic Fibrosis patient and healthy controls faecal sample	NULL	Y		1	1	NULL	24402126, 22387117,23189272	0
1	PRJNA261779	PRJNA261779	SRP048515		NULL	Y		1	1	NULL	24402126, 22387117,23189272	0
1	PRJNA261782	PRJNA261782	SRP048548		NULL	Y		1	1	NULL	24402126, 22387117,23189272	0
1	PRJNA261999	PRJNA261999	SRP048696	Cystic fibrosis (CF), is a lethal hereditary disorder leading to respiratory infections, chronic inflammation, repeated antibiotic treatments, all of them have a known or suspected link to the gut microbiota. The aim of this work was to investigate the gut microbiota composition and modulation of CF patients by metagenomic and metabolomic combined analyses in relation with healthy children. Thirty faecal samples from either CF patients and healthy children (HC) (age range 1-6 years), were collected. After the filtering protocols, a total of 316,006 sequence reads of 16S rRNA gene amplicons were obtained with an average of 5,356 reads/sample and an average length of 487 bp calculated after primer removal. The results of alpha-diversity analysis indicated a satisfactory coverage of the microbial diversity as shown by the Good’s estimated sample coverage (ESC) that was in all cases above 97%. The sample type (CF vs HC) significantly influenced the composition of the microbiota as measured using ADONIS and ANOSIM methods (p<0.001). Accordingly, beta-diversity analyses performed by unweighted uniFrac showed a clear differentiation between CF and HC individuals suggesting that different taxa characterized the fecal microbiota of the two types of subjects. In fact, Clostridiaceae were more abundant in CF (avg. 20%) compared to HC (avg. 3%) samples (p<0.005) while Ruminococcaceae and Erysipelotrichaceae were more abundant in HC samples (p<0.005). At deeper taxonomic assignment, Clostridium sp. (avg. 9.8% in CF vs 2.2 in HC) and Clostridium difficile (avg. 2.9% in CF vs 0.0 in HC) were more abundant in CF patients (p=0.04 and p=0.01, respectively). By contrast, Eggerthella sp., Eggerthella lenta, Ruminococcus sp., Ruminococcus bromii, Dialister sp. and Dialister invisus were more abundant in HC feces (p<0.05).	NULL	Y		1	1	NULL	24402126, 22387117,23189272	0
1	PRJNA262002	PRJNA262002	SRP048697	Cystic fibrosis (CF), is a lethal hereditary disorder leading to respiratory infections, chronic inflammation, repeated antibiotic treatments, all of them have a known or suspected link to the gut microbiota. The aim of this work was to investigate the gut microbiota composition and modulation of CF patients by metagenomic and metabolomic combined analyses in relation with healthy children. Thirty faecal samples from either CF patients and healthy children (HC) (age range 1-6 years), were collected. After the filtering protocols, a total of 316,006 sequence reads of 16S rRNA gene amplicons were obtained with an average of 5,356 reads/sample and an average length of 487 bp calculated after primer removal. The results of alpha-diversity analysis indicated a satisfactory coverage of the microbial diversity as shown by the Good’s estimated sample coverage (ESC) that was in all cases above 97%. The sample type (CF vs HC) significantly influenced the composition of the microbiota as measured using ADONIS and ANOSIM methods (p<0.001). Accordingly, beta-diversity analyses performed by unweighted uniFrac showed a clear differentiation between CF and HC individuals suggesting that different taxa characterized the fecal microbiota of the two types of subjects. In fact, Clostridiaceae were more abundant in CF (avg. 20%) compared to HC (avg. 3%) samples (p<0.005) while Ruminococcaceae and Erysipelotrichaceae were more abundant in HC samples (p<0.005). At deeper taxonomic assignment, Clostridium sp. (avg. 9.8% in CF vs 2.2 in HC) and Clostridium difficile (avg. 2.9% in CF vs 0.0 in HC) were more abundant in CF patients (p=0.04 and p=0.01, respectively). By contrast, Eggerthella sp., Eggerthella lenta, Ruminococcus sp., Ruminococcus bromii, Dialister sp. and Dialister invisus were more abundant in HC feces (p<0.05).	NULL	Y		1	1	NULL	24402126, 22387117,23189272	0
1	PRJNA262714	PRJNA262714	SRP048692	Cystic fibrosis (CF), is a lethal hereditary disorder leading to respiratory infections, chronic inflammation, repeated antibiotic treatments, all of them have a known or suspected link to the gut microbiota. The aim of this work was to investigate the gut microbiota composition and modulation of CF patients by metagenomic and metabolomic combined analyses in relation with healthy children. Thirty faecal samples from either CF patients and healthy children (HC) (age range 1-6 years), were collected. After the filtering protocols, a total of 316,006 sequence reads of 16S rRNA gene amplicons were obtained with an average of 5,356 reads/sample and an average length of 487 bp calculated after primer removal. The results of alpha-diversity analysis indicated a satisfactory coverage of the microbial diversity as shown by the Goodâ€™s estimated sample coverage (ESC) that was in all cases above 97%. The sample type (CF vs HC) significantly influenced the composition of the microbiota as measured using ADONIS and ANOSIM methods (p<0.001). Accordingly, beta-diversity analyses performed by unweighted uniFrac showed a clear differentiation between CF and HC individuals suggesting that different taxa characterized the fecal microbiota of the two types of subjects. In fact, Clostridiaceae were more abundant in CF (avg. 20%) compared to HC (avg. 3%) samples (p<0.005) while Ruminococcaceae and Erysipelotrichaceae were more abundant in HC samples (p<0.005). At deeper taxonomic assignment, Clostridium sp. (avg. 9.8% in CF vs 2.2 in HC) and Clostridium difficile (avg. 2.9% in CF vs 0.0 in HC) were more abundant in CF patients (p=0.04 and p=0.01, respectively). By contrast, Eggerthella sp., Eggerthella lenta, Ruminococcus sp., Ruminococcus bromii, Dialister sp. and Dialister invisus were more abundant in HC feces (p<0.05).	NULL	Y		1	1	NULL	24402126, 22387117,23189272	0
