loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
37567.0,836,genus,27.9843,Porphyromonas,ERR1075183
37567.0,165779,genus,17.8173,Anaerococcus,ERR1075183
37567.0,162289,genus,13.9691,Peptoniphilus,ERR1075183
37567.0,41273,genus,6.45732,Tissierella,ERR1075183
37567.0,838,genus,6.42654,Prevotella,ERR1075183
37567.0,150022,genus,5.07966,Finegoldia,ERR1075183
37567.0,39948,genus,3.78665,Dialister,ERR1075183
37567.0,86331,genus,2.10883,Mogibacterium,ERR1075183
37567.0,1200657,genus,1.40075,Saccharofermentans,ERR1075183
37567.0,194,genus,1.06211,Campylobacter,ERR1075183
37567.0,286,genus,0.523359,Pseudomonas,ERR1075183
37567.0,1716,genus,0.446394,Corynebacterium,ERR1075183
37567.0,1678,genus,0.415608,Bifidobacterium,ERR1075183
37567.0,816,genus,0.307858,Bacteroides,ERR1075183
37567.0,1508657,genus,0.261679,Ruminiclostridium,ERR1075183
37567.0,31983,genus,0.223197,Helcococcus,ERR1075183
37567.0,184869,genus,0.200108,Varibaculum,ERR1075183
37567.0,216851,genus,0.153929,Faecalibacterium,ERR1075183
37567.0,1485,genus,0.13084,Clostridium,ERR1075183
37567.0,1505657,genus,0.115447,Intestinibacter,ERR1075183
37567.0,572511,genus,0.0769645,Blautia,ERR1075183
37567.0,469,genus,0.0769645,Acinetobacter,ERR1075183
37567.0,2740,genus,0.0769645,Peptococcus,ERR1075183
37567.0,375288,genus,0.0769645,Parabacteroides,ERR1075183
37567.0,189330,genus,0.0692681,Dorea,ERR1075183
37567.0,1263,genus,0.0615716,Ruminococcus,ERR1075183
37567.0,1573535,genus,0.0615716,Holdemanella,ERR1075183
37567.0,239934,genus,0.0538752,Akkermansia,ERR1075183
37567.0,1730,genus,0.0538752,Eubacterium,ERR1075183
37567.0,37914,genus,0.0461787,Dietzia,ERR1075183
37567.0,1637257,genus,0.0461787,Mageeibacillus,ERR1075183
37567.0,1578,genus,0.0384823,Lactobacillus,ERR1075183
37567.0,33042,genus,0.0307858,Coprococcus,ERR1075183
37567.0,239759,genus,0.0307858,Alistipes,ERR1075183
37567.0,44748,genus,0.0230894,Sporobacter,ERR1075183
37567.0,1380,genus,0.0230894,Atopobium,ERR1075183
37567.0,1506553,genus,0.0230894,Lachnoclostridium,ERR1075183
37567.0,459786,genus,0.0153929,Oscillibacter,ERR1075183
37567.0,32207,genus,0.0153929,Rothia,ERR1075183
37567.0,1505663,genus,0.0153929,Erysipelatoclostridium,ERR1075183
37567.0,397864,genus,0.0153929,Barnesiella,ERR1075183
37567.0,36853,genus,0.0153929,Desulfitobacterium,ERR1075183
37567.0,29465,genus,0.0153929,Veillonella,ERR1075183
37567.0,133925,genus,0.0153929,Olsenella,ERR1075183
37567.0,1279,genus,0.0153929,Staphylococcus,ERR1075183
37567.0,1505664,genus,0.0153929,Gottschalkia,ERR1075183
37567.0,1370,genus,0.0153929,Marinococcus,ERR1075183
37567.0,1486726,genus,0.00769645,Pseudobacteroides,ERR1075183
37567.0,1573806,genus,0.00769645,Mariniphaga,ERR1075183
37567.0,157,genus,0.00769645,Treponema,ERR1075183
37567.0,44249,genus,0.00769645,Paenibacillus,ERR1075183
37567.0,990721,genus,0.00769645,Christensenella,ERR1075183
37567.0,294702,genus,0.00769645,Proteiniphilum,ERR1075183
37567.0,363276,genus,0.00769645,Ktedonobacter,ERR1075183
37567.0,34098,genus,0.00769645,Blattabacterium,ERR1075183
37567.0,670486,genus,0.00769645,Dehalogenimonas,ERR1075183
37567.0,693074,genus,0.00769645,Caldisericum,ERR1075183
37567.0,1301,genus,0.00769645,Streptococcus,ERR1075183
37567.0,187144,genus,0.00769645,Caldithrix,ERR1075183
37567.0,44013,genus,0.00769645,Polynucleobacter,ERR1075183
37567.0,285105,genus,0.00769645,Tepidimicrobium,ERR1075183
37567.0,55080,genus,0.00769645,Brevibacillus,ERR1075183
37567.0,207599,genus,0.00769645,Solirubrobacter,ERR1075183
37567.0,841,genus,0.00769645,Roseburia,ERR1075183
37567.0,278993,genus,0.00769645,Thermincola,ERR1075183
37567.0,338,genus,0.00769645,Xanthomonas,ERR1075183
37567.0,20,genus,0.00769645,Phenylobacterium,ERR1075183
37567.0,61434,genus,0.00769645,Dehalococcoides,ERR1075183
37567.0,346096,genus,0.00769645,Paludibacter,ERR1075183
37567.0,1827,genus,0.00769645,Rhodococcus,ERR1075183
37567.0,577309,genus,0.00769645,Paraprevotella,ERR1075183
37567.0,848,genus,0.00769645,Fusobacterium,ERR1075183
37567.0,1847,genus,0.00769645,Pseudonocardia,ERR1075183
37567.0,1988,genus,0.00769645,Actinomadura,ERR1075183
37567.0,28196,genus,0.00769645,Arcobacter,ERR1075183
,-1,genus,9.86685,Unknown,ERR1075183
37568.0,239934,genus,12.9213,Akkermansia,ERR1089862
37568.0,216851,genus,9.37801,Faecalibacterium,ERR1089862
37568.0,816,genus,8.20761,Bacteroides,ERR1089862
37568.0,1678,genus,6.60757,Bifidobacterium,ERR1089862
37568.0,239759,genus,4.53838,Alistipes,ERR1089862
37568.0,1505657,genus,3.30132,Intestinibacter,ERR1089862
37568.0,572511,genus,2.31364,Blautia,ERR1089862
37568.0,1505663,genus,2.16055,Erysipelatoclostridium,ERR1089862
37568.0,1508657,genus,1.84202,Ruminiclostridium,ERR1089862
37568.0,838,genus,1.64202,Prevotella,ERR1089862
37568.0,459786,genus,1.27904,Oscillibacter,ERR1089862
37568.0,1279,genus,1.2667,Staphylococcus,ERR1089862
37568.0,1573535,genus,1.08151,Holdemanella,ERR1089862
37568.0,375288,genus,0.967925,Parabacteroides,ERR1089862
37568.0,1485,genus,0.95311,Clostridium,ERR1089862
37568.0,2740,genus,0.602484,Peptococcus,ERR1089862
37568.0,397864,genus,0.567915,Barnesiella,ERR1089862
37568.0,1730,genus,0.555569,Eubacterium,ERR1089862
37568.0,1350,genus,0.521001,Enterococcus,ERR1089862
37568.0,1386,genus,0.419763,Bacillus,ERR1089862
37568.0,244127,genus,0.395071,Anaerotruncus,ERR1089862
37568.0,1301,genus,0.328403,Streptococcus,ERR1089862
37568.0,189330,genus,0.192597,Dorea,ERR1089862
37568.0,1263,genus,0.187659,Ruminococcus,ERR1089862
37568.0,1578,genus,0.18519,Lactobacillus,ERR1089862
37568.0,283168,genus,0.15309,Odoribacter,ERR1089862
37568.0,1357,genus,0.140744,Lactococcus,ERR1089862
37568.0,577309,genus,0.138275,Paraprevotella,ERR1089862
37568.0,1505652,genus,0.133337,Terrisporobacter,ERR1089862
37568.0,207244,genus,0.133337,Anaerostipes,ERR1089862
37568.0,1506553,genus,0.103706,Lachnoclostridium,ERR1089862
37568.0,44748,genus,0.0962987,Sporobacter,ERR1089862
37568.0,841,genus,0.0938295,Roseburia,ERR1089862
37568.0,904,genus,0.0839527,Acidaminococcus,ERR1089862
37568.0,33042,genus,0.0716067,Coprococcus,ERR1089862
37568.0,84111,genus,0.0691375,Eggerthella,ERR1089862
37568.0,1433993,genus,0.0567915,Chryseolinea,ERR1089862
37568.0,1716,genus,0.0567915,Corynebacterium,ERR1089862
37568.0,1654,genus,0.0567915,Actinomyces,ERR1089862
37568.0,48463,genus,0.0419763,Prosthecobacter,ERR1089862
37568.0,1378,genus,0.0419763,Gemella,ERR1089862
37568.0,262406,genus,0.037038,Thermobaculum,ERR1089862
37568.0,44249,genus,0.0345688,Paenibacillus,ERR1089862
37568.0,2735,genus,0.024692,Verrucomicrobium,ERR1089862
37568.0,2172,genus,0.024692,Methanobrevibacter,ERR1089862
37568.0,644652,genus,0.0222228,Gordonibacter,ERR1089862
37568.0,61434,genus,0.0197536,Dehalococcoides,ERR1089862
37568.0,286,genus,0.0197536,Pseudomonas,ERR1089862
37568.0,233191,genus,0.0172844,Caldilinea,ERR1089862
37568.0,233189,genus,0.0148152,Anaerolinea,ERR1089862
37568.0,52784,genus,0.0148152,Anaerofilum,ERR1089862
37568.0,165779,genus,0.0148152,Anaerococcus,ERR1089862
37568.0,2147,genus,0.012346,Acholeplasma,ERR1089862
37568.0,1827,genus,0.012346,Rhodococcus,ERR1089862
37568.0,1769729,genus,0.00987679,Hathewaya,ERR1089862
37568.0,848,genus,0.00987679,Fusobacterium,ERR1089862
37568.0,990721,genus,0.00987679,Christensenella,ERR1089862
37568.0,1870884,genus,0.00987679,Clostridioides,ERR1089862
37568.0,46123,genus,0.00987679,Abiotrophia,ERR1089862
37568.0,118747,genus,0.00987679,Bulleidia,ERR1089862
37568.0,1618113,genus,0.00987679,Saccharicrinis,ERR1089862
37568.0,267986,genus,0.00740759,Owenweeksia,ERR1089862
37568.0,1883,genus,0.00740759,Streptomyces,ERR1089862
37568.0,45669,genus,0.00740759,Salinicoccus,ERR1089862
37568.0,32207,genus,0.00740759,Rothia,ERR1089862
37568.0,670486,genus,0.00740759,Dehalogenimonas,ERR1089862
37568.0,1253,genus,0.00740759,Pediococcus,ERR1089862
37568.0,41273,genus,0.00740759,Tissierella,ERR1089862
37568.0,61170,genus,0.00740759,Holdemania,ERR1089862
