ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
36874,species,25.3444,Porphyromonas cangingivalis,ERR1075183
33034,species,12.5837,Anaerococcus prevotii,ERR1075183
1827099,species,6.74979,Peptoniphilus sp. JCM 8141,ERR1075183
28127,species,5.73386,Prevotella buccalis,ERR1075183
43131,species,5.54145,Tissierella praeacuta,ERR1075183
1260,species,5.07966,Finegoldia magna,ERR1075183
33032,species,3.70969,Anaerococcus lactolyticus,ERR1075183
54006,species,3.06319,Peptoniphilus ivorii,ERR1075183
1258,species,2.67837,Peptoniphilus asaccharolyticus,ERR1075183
218538,species,2.65528,Dialister invisus,ERR1075183
35519,species,2.06265,Mogibacterium timidum,ERR1075183
319644,species,1.40075,Saccharofermentans acetigenes,ERR1075183
33029,species,1.21604,Anaerococcus hydrogenalis,ERR1075183
309120,species,1.13138,Dialister micraerophilus,ERR1075183
827,species,1.05441,Campylobacter ureolyticus,ERR1075183
281920,species,0.946664,Porphyromonas uenonis,ERR1075183
43143,species,0.892788,Tissierella creatinini,ERR1075183
28123,species,0.84661,Porphyromonas asaccharolytica,ERR1075183
29524,species,0.815824,Porphyromonas circumdentaria,ERR1075183
701529,species,0.761949,Peptoniphilus sp. JCM 8143,ERR1075183
33031,species,0.654198,Peptoniphilus lacrimalis,ERR1075183
294,species,0.500269,Pseudomonas fluorescens,ERR1075183
165179,species,0.384823,Prevotella copri,ERR1075183
143393,species,0.223197,[Eubacterium] sulci,ERR1075183
1725,species,0.215501,Corynebacterium xerosis,ERR1075183
241555,species,0.215501,Helcococcus sueciensis,ERR1075183
242750,species,0.215501,Prevotella bergensis,ERR1075183
33036,species,0.184715,Anaerococcus tetradius,ERR1075183
1755626,species,0.153929,Faecalibacterium sp. MC_41,ERR1075183
184870,species,0.138536,Varibaculum cambriense,ERR1075183
1515,species,0.13084,Ruminiclostridium thermocellum,ERR1075183
33037,species,0.123143,Anaerococcus vaginalis,ERR1075183
261299,species,0.115447,Intestinibacter bartlettii,ERR1075183
28026,species,0.115447,Bifidobacterium pseudocatenulatum,ERR1075183
216816,species,0.0923574,Bifidobacterium longum,ERR1075183
2741,species,0.0769645,Peptococcus niger,ERR1075183
48296,species,0.0769645,Acinetobacter pittii,ERR1075183
39492,species,0.0692681,[Eubacterium] siraeum,ERR1075183
39486,species,0.0692681,Dorea formicigenerans,ERR1075183
1735,species,0.0615716,Holdemanella biformis,ERR1075183
820,species,0.0538752,Bacteroides uniformis,ERR1075183
191493,species,0.0538752,Corynebacterium sphenisci,ERR1075183
239935,species,0.0538752,Akkermansia muciniphila,ERR1075183
38304,species,0.0538752,Corynebacterium tuberculostearicum,ERR1075183
1177728,species,0.0538752,Varibaculum sp. CCUG 31793,ERR1075183
40520,species,0.0461787,Blautia obeum,ERR1075183
28116,species,0.0461787,Bacteroides ovatus,ERR1075183
1680,species,0.0461787,Bifidobacterium adolescentis,ERR1075183
86332,species,0.0461787,Mogibacterium pumilum,ERR1075183
37915,species,0.0461787,Dietzia maris,ERR1075183
884684,species,0.0461787,Mageeibacillus indolicus,ERR1075183
1685,species,0.0461787,Bifidobacterium breve,ERR1075183
36745,species,0.0384823,Clostridium saccharoperbutylacetonicum,ERR1075183
1509,species,0.0384823,Clostridium sporogenes,ERR1075183
1487956,species,0.0384823,Corynebacterium sp. ATCC 6931,ERR1075183
823,species,0.0384823,Parabacteroides distasonis,ERR1075183
43770,species,0.0384823,Corynebacterium striatum,ERR1075183
907224,species,0.0384823,Peptoniphilus methioninivorax,ERR1075183
78342,species,0.0384823,Bifidobacterium gallicum,ERR1075183
39497,species,0.0307858,Eubacterium xylanophilum,ERR1075183
589436,species,0.0307858,Prevotella fusca,ERR1075183
818,species,0.0307858,Bacteroides thetaiotaomicron,ERR1075183
46503,species,0.0307858,Parabacteroides merdae,ERR1075183
821,species,0.0307858,Bacteroides vulgatus,ERR1075183
1559,species,0.0307858,Clostridium tertium,ERR1075183
1535,species,0.0307858,[Clostridium] leptum,ERR1075183
33043,species,0.0307858,Coprococcus eutactus,ERR1075183
79681,species,0.0230894,Tissierella creatinophila,ERR1075183
598660,species,0.0230894,Corynebacterium pyruviciproducens,ERR1075183
328813,species,0.0230894,Alistipes onderdonkii,ERR1075183
1265,species,0.0230894,Ruminococcus flavefaciens,ERR1075183
393921,species,0.0230894,Porphyromonas crevioricanis,ERR1075183
44749,species,0.0230894,Sporobacter termitidis,ERR1075183
1382,species,0.0230894,Atopobium parvulum,ERR1075183
839,species,0.0230894,Prevotella ruminicola,ERR1075183
1687,species,0.0230894,Bifidobacterium coryneforme,ERR1075183
536633,species,0.0230894,Blautia glucerasea,ERR1075183
138595,species,0.0153929,Olsenella profusa,ERR1075183
397865,species,0.0153929,Barnesiella viscericola,ERR1075183
1264,species,0.0153929,Ruminococcus albus,ERR1075183
1436965,species,0.0153929,Peptoniphilus stercorisuis,ERR1075183
84026,species,0.0153929,[Clostridium] methylpentosum,ERR1075183
38303,species,0.0153929,Corynebacterium pseudogenitalium,ERR1075183
310297,species,0.0153929,Bacteroides plebeius,ERR1075183
288965,species,0.0153929,[Clostridium] clariflavum,ERR1075183
204516,species,0.0153929,Bacteroides massiliensis,ERR1075183
1691,species,0.0153929,Bifidobacterium indicum,ERR1075183
291645,species,0.0153929,Bacteroides nordii,ERR1075183
310298,species,0.0153929,Bacteroides coprocola,ERR1075183
39488,species,0.0153929,[Eubacterium] hallii,ERR1075183
351091,species,0.0153929,Oscillibacter valericigenes,ERR1075183
39778,species,0.0153929,Veillonella dispar,ERR1075183
